customer_id,recency_days,frequency_annual,aov_inr,ltv_inr,discount_code_usage_rate,cart_abandonment_rate,app_channel_weight,web_channel_weight,desktop_channel_weight,social_engagement_score,marketplace_purchase_share,age,gender,city_tier,browsing_search_interest,ground_truth_segment_id,cluster_id
CUST00001,35,5,3390.0,23133.0,0.0563092909677302,0.068185946020048,0.0601329980877703,0.5122516303207374,0.4276153715914922,0.310271484192035,0.1027460490026624,33,Female,Tier2,"limited edition, cotton, made to order",1,4
CUST00002,50,1,3770.0,4721.0,0.027990403802085,0.2274385572226819,0.1568479086296726,0.4597760061092206,0.3833760852611066,0.1584910673296712,0.1301777170232324,37,Male,Metro,"capsule collection, t-shirt, made to order, first order discount, full price",1,4
CUST00003,54,4,1560.0,5955.0,0.3012976431959519,0.1465663982642153,0.5186595885759787,0.2249245784856908,0.2564158329383305,0.3497799230172634,0.3448487002855075,37,Female,Metro,"clearance, early access, loyalty points, restock, order history",4,2
CUST00004,71,1,1030.0,730.0,0.4757717223194327,0.6650448501239712,0.20937675496501,0.6472173884561779,0.1434058565788117,0.4024181211934627,0.3230877070934421,27,Female,Tier3,"fit check, return policy, delivery time",3,1
CUST00005,14,2,1780.0,1823.0,0.2893271315565651,0.4889510703893529,0.7857762554394128,0.1055903376566936,0.1086334069038935,0.7326572342366049,0.257204398568963,21,Female,Metro,"restock alert, exchange, reels",2,3
CUST00006,7,5,1200.0,12454.0,0.4834757781197559,0.0762324190721024,0.6439026290278146,0.1820279577935608,0.1740694131786246,0.5271285532195715,0.531688387386679,20,Non-binary,Metro,"limited stock, exchange, drop alert, oversized fit, free shipping",2,3
CUST00007,119,3,1660.0,3498.0,0.3458581868626652,0.6225737519871576,0.7312596726454271,0.2467844525044156,0.0219558748501572,0.6862878604347398,0.419266443357087,23,Female,Tier2,"welcome offer, influencer recommended, clearance, coupon, insta finds",6,6
CUST00008,13,5,660.0,4697.0,0.8866292161846102,0.3087248161229849,0.8286139507695393,0.1495298740464795,0.0218561751839812,0.5143784069319309,0.6336873755912418,26,Female,Tier2,"flat 50% off, cashback, exchange, sale, lowest price",0,0
CUST00009,57,10,1820.0,15612.0,0.2059182617490428,0.1536715972152007,0.4577809797764821,0.4673167289322879,0.0749022912912299,0.4140269703170098,0.1303417642209783,29,Female,Tier2,"early access, order history, new arrivals, restock",4,2
CUST00010,102,1,3510.0,4040.0,0.2949617739630976,0.5685901914193678,0.2415068230968209,0.6825995224715679,0.075893654431611,0.338086458520528,0.4364359776005704,31,Female,Tier2,"diwali sale, festive, made to order",5,6
CUST00011,40,1,960.0,2015.0,0.2681129993650631,0.5347807497163195,0.6304641732981954,0.2807787584940403,0.0887570682077642,0.6774704253256588,0.3110813258927596,23,Female,Tier2,"exchange, still deciding, drop alert, fit check",3,6
CUST00012,52,5,2210.0,22519.0,0.1552453260789543,0.0477287042375095,0.5466161518705537,0.4365477039475871,0.0168361441818593,0.2890925264744366,0.1506713136570278,24,Female,Metro,"capsule collection, favorite brand, cotton",4,2
CUST00013,54,1,2600.0,2765.0,0.2777271446381032,0.4666660041482814,0.2635922912126208,0.3529624175910982,0.383445291196281,0.5091663009368271,0.4752968304945947,35,Female,Tier2,"sherwani, wedding collection, festive",5,6
CUST00014,81,1,2830.0,7235.0,0.1896170973650051,0.3805869516388577,0.3986475477674664,0.4191361676775736,0.1822162845549599,0.5130963412896657,0.3276153848789817,28,Female,Tier2,"family pack, t-shirt, sherwani, diwali sale, ethnic wear",5,6
CUST00015,8,13,1270.0,30510.0,0.3848695050940622,0.2980330504286153,0.9284462776869388,0.0648338230537398,0.0067198992593214,0.8239990461859588,0.3079410483536642,18,Male,Metro,"limited stock, trending now, size medium, t-shirt",2,3
CUST00016,17,8,850.0,18455.0,0.6619702990423002,0.3396090715927128,0.8954102131228249,0.0700740475556317,0.0345157393215434,0.4668389913215777,0.4964689186220572,24,Female,Tier2,"combo offer, flat 50% off, t-shirt, cashback, clearance",0,0
CUST00017,11,5,1890.0,18191.0,0.2635079978114338,0.2786970594089755,0.4003110840767019,0.5082207891890809,0.0914681267342172,0.7422839122142323,0.3424797608855241,24,Female,Metro,"trending now, order tracking, oversized fit, collab",2,3
CUST00018,20,16,660.0,10441.0,0.7571211537933374,0.3633207408788845,0.5898397018773562,0.0671429173400707,0.343017380782573,0.436944019137309,0.4944702521804955,33,Female,Tier3,"restock, membership, budget",0,0
CUST00019,60,1,950.0,937.0,0.5258459526890219,0.5572095948526864,0.4431767887786646,0.3591406362769819,0.1976825749443534,0.6057881262292327,0.6390749510745894,18,Female,Tier2,"exchange, referral code, unboxing",6,6
CUST00020,75,1,3160.0,3925.0,0.2697777869535745,0.4686203861697112,0.1027260150923467,0.5414451946252373,0.355828790282416,0.5348458073519038,0.6354023680413299,38,Male,Metro,"sherwani, gifting, family pack",5,5
CUST00021,8,3,1340.0,4741.0,0.1246187487248033,0.3188675361892941,0.6272152669191446,0.1854371448401557,0.1873475882406996,0.8606104478432173,0.4413927896147764,25,Female,Metro,"t-shirt, restock alert, new drop, free shipping",2,3
CUST00022,15,30,460.0,14489.0,0.6567728244819769,0.3807988776824459,0.7215295684270718,0.2392472257308448,0.0392232058420834,0.6405279392449987,0.6672837927316253,24,Female,Tier3,"bogo offer, coupon, sherwani, wedding collection",0,0
CUST00023,59,1,1230.0,1303.0,0.3915130905691201,0.3315802673970076,0.7563379075918134,0.0789170328545755,0.164745059553611,0.6694539988992929,0.4839046557259263,19,Female,Tier2,"free shipping, new user offer, size medium, try first order",6,6
